Feature,Importance
dayoftheweek,0.10055074058596124
ordenador,0.09455691071021882
otrofactor,0.08367459119622998
bienestar,0.08200242826554284
Totaltime,0.07166964122234538
µgm3,0.052471427319331757
age_yrs,0.04805687074341247
sec_noise55_day,0.0473301645703886
no2gps_12h,0.04732870953605638
inhib_control,0.04725717304083156
tmean_24h,0.047161723690819383
z_performance,0.046066973186046294
ID_Zenodo,0.04011858600697779
mean_congruent,0.03951360432983738
humi_24h,0.038083263395079704
pm25bcn,0.032295617678940215
sec_noise65_day,0.02975807073249982
covid_work,0.023917349058833318
smoke,0.014106127172594587
covid_motor,0.014080027558052212
