Feature,Importance
dayoftheweek,0.08021277318025445
otrofactor,0.07037978276605855
ordenador,0.060028001430413314
bienestar,0.051067389810406746
µgm3,0.037684390290310045
age_yrs,0.03454362989459187
Totaltime,0.031984255959526725
ID_Zenodo,0.02914507220209667
horasfuera,0.028002429849155012
mean_congruent,0.02600335637246889
no2gps_24h,0.022203809234943
z_inhib_control,0.021250169114757494
tmean_24h,0.02037209923333396
tmean_12h,0.02028269016033711
inhib_control,0.019869570103784123
sec_noise55_day,0.018367784024165123
min_gps,0.018354658278364983
sueno,0.01825109233661941
sec_noise65_day,0.018232234938111342
no2bcn_24h,0.017063901203269095
humi_24h,0.016635575482997562
humi_12h,0.01604641218150694
sec_greenblue_day,0.015874524340393225
energia,0.01582945977374939
z_performance,0.015277256002139972
pressure_12h,0.01495642041601398
pressure_24h,0.014538813863592489
pm25bcn,0.01378037483797002
z_mean_incongruent,0.01319454048612561
performance,0.012148084263200905
occurrence_mental,0.011792325723784787
BCμg,0.011645663336130666
occurrence_stroop,0.011083741768634909
covid_mood,0.010214727240206493
covid_work,0.009519971972801827
covid_sleep,0.009241527605551775
mean_incongruent,0.00834878291288633
response_duration_ms,0.008303756156451155
hour_gps,0.006487990374235347
covid_electric,0.005942085820977869
covid_public_trans,0.005442308379052638
covid_motor,0.005070456161844554
district_sant andreu,0.004589774934134573
hours_noise_55_day,0.004399723631610252
noise_total_LDEN_55,0.004185159904308301
Totaltime_estimated,0.0040380093913139105
access_greenbluespaces_300mbuff,0.003995682134759333
smoke,0.0037301354359917005
covid_aire,0.003715026637023818
hours_noise_65_day,0.0037039227808657194
alcohol,0.003657304350800206
covid_bikewalk,0.003577139311404814
correct,0.003503934284398554
district_sants-montjuïc,0.003286648312244191
district_gràcia,0.0031802956314767573
actividadfisica,0.0031017436404020006
covid_espacios,0.0030721009617782663
hours_greenblue_day,0.0030638785528677103
precip_24h,0.0030580608403215762
gender,0.0029894627428227382
dieta,0.002951050278393001
district_eixample,0.0028671099583841304
bebida,0.0026830840522893916
incidence_cat_no incidence,0.0026677638618326726
enfermo,0.002614614822688982
district_sant martí,0.0025794014818589805
incidence_cat_mobility incidence,0.0025409688435544717
precip_12h,0.0023224843213633297
district_ciutat vella,0.002276610045655181
maxwindspeed_24h,0.0018533588886368484
maxwindspeed_12h,0.001602916485148244
district_les corts,0.0015958311919656487
drogas,0.001553061969258072
district_horta-guinardo,0.0014627159703324828
incidence_cat_physical incidence,0.0014255505830681873
education,0.0013206535318482165
incidence_cat_physical and mobility incidences,0.0012537126165039943
district_nou barris,0.0012372579443773893
psycho,0.0009769117338161988
district_16,0.0008868574543382165
district_sarria sant-gervasi,0.0007131840560528224
precip_24h_binary,0.000599570001156252
precip_12h_binary,0.00047094728641475133
mentalhealth_survey,2.2489659321857633e-05
